R00005	R00005	urea-1-carboxylate amidohydrolase; Urea-1-carboxylate + H2O <=> 2 CO2 + 2 Ammonia
R01825	R01825	D-erythrose 4-phosphate:NAD+ oxidoreductase; D-Erythrose 4-phosphate + NAD+ + H2O <=> 4-Phospho-D-erythronate + NADH + H+
R01826	R01826	Phosphoenolpyruvate:D-erythrose-4-phosphate C-(1-carboxyvinyl)transferase (phosphate hydrolysing, 2-carboxy-2-oxoethyl-forming); Phosphoenolpyruvate + D-Erythrose 4-phosphate + H2O <=> 2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate + Orthophosphate
R01827	R01827	sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate glyceronetransferase; Sedoheptulose 7-phosphate + D-Glyceraldehyde 3-phosphate <=> D-Erythrose 4-phosphate + beta-D-Fructose 6-phosphate
R01829	R01829	sedoheptulose 1,7-bisphosphate D-glyceraldehyde-3-phosphate-lyase; Sedoheptulose 1,7-bisphosphate <=> Glycerone phosphate + D-Erythrose 4-phosphate
R01830	R01830	beta-D-Fructose 6-phosphate:D-glyceraldehyde-3-phosphate glycolaldehyde transferase; beta-D-Fructose 6-phosphate + D-Glyceraldehyde 3-phosphate <=> D-Erythrose 4-phosphate + D-Xylulose 5-phosphate
R01834	R01834	3-Oxo-5alpha-steroid:(acceptor) delta4-oxidoreductase; 5alpha-Androstane-3,17-dione + Acceptor <=> Androstenedione + Reduced acceptor
R01835	R01835	5beta-androstane-3,17-dione:NADP+ 4,5-oxidoreductase; 5beta-Androstane-3,17-dione + NADP+ <=> H+ + NADPH + Androstenedione
R01836	R01836	testosterone:NAD+ 17-oxidoreductase; Testosterone + NAD+ <=> Androstenedione + NADH + H+
R01837	R01837	3beta-Hydroxyandrost-5-en-17-one:NAD+ 3-oxidoreductase/delta5-delta-4 isomerase; Dehydroepiandrosterone + NAD+ <=> Androstenedione + NADH + H+
R01838	R01838	testosterone:NADP+ 17-oxidoreductase; Testosterone + NADP+ <=> Androstenedione + NADPH + H+
R01840	R01840	androstenedione,NADPH---hemoprotein reductase:oxygen oxidoreductase (19-hydroxylating); Androstenedione + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> 19-Hydroxyandrost-4-ene-3,17-dione + [Oxidized NADPH---hemoprotein reductase] + H2O
R01844	R01844	ATP:sedoheptulose 7-phosphate; ATP + Sedoheptulose <=> ADP + Sedoheptulose 7-phosphate
R01845	R01845	Sedoheptulose 1,7-bisphosphate 1-phosphohydrolase; Sedoheptulose 1,7-bisphosphate + H2O <=> Sedoheptulose 7-phosphate + Orthophosphate
R01855	R01855	2'-Deoxyguanosine 5'-triphosphate diphosphohydrolase; dGTP + H2O <=> dGMP + Diphosphate
R01856	R01856	dGTP triphosphohydrolase; dGTP + H2O <=> Deoxyguanosine + Triphosphate
R01857	R01857	ATP:dGDP phosphotransferase; ATP + dGDP <=> ADP + dGTP
R01858	R01858	dGTP:pyruvate 2-O-phosphotransferase; dGTP + Pyruvate <=> dGDP + Phosphoenolpyruvate
R01859	R01859	propanoyl-CoA:carbon-dioxide ligase (ADP-forming); ATP + Propanoyl-CoA + HCO3- <=> ADP + Orthophosphate + (S)-Methylmalonyl-CoA
R01861	R01861	3'-Phosphoadenylyl-sulfate:benzenamine N-sulfotransferase; 3'-Phosphoadenylyl sulfate + Aniline <=> Adenosine 3',5'-bisphosphate + Benzenamine sulfate
R01863	R01863	inosine:phosphate alpha-D-ribosyltransferase; Inosine + Orthophosphate <=> Hypoxanthine + alpha-D-Ribose 1-phosphate
R01867	R01867	(S)-dihydroorotate:fumarate oxidoreductase; (S)-Dihydroorotate + Fumarate <=> Orotate + Succinate
R01868	R01868	(S)-dihydroorotate:quinone oxidoreductase; (S)-Dihydroorotate + Quinone <=> Orotate + Hydroquinone
R01869	R01869	(S)-dihydroorotate:NAD+ oxidoreductase; (S)-Dihydroorotate + NAD+ <=> Orotate + H+ + NADH
R01870	R01870	Orotidine-5'-phosphate:diphosphate phospho-alpha-D-ribosyl-transferase; Orotidine 5'-phosphate + Diphosphate <=> Orotate + 5-Phospho-alpha-D-ribose 1-diphosphate
R01872	R01872	L-quinate:NAD+ 3-oxidoreductase; Quinate:NAD+ 5-oxidoreductase; Quinate + NAD+ <=> 3-Dehydroquinate + NADH + H+
R01873	R01873	Quinate:pyrroloquinoline-quinone 3-oxidoreductase; Quinate:pyrroloquinoline-quinone 5-oxidoreductase; Quinate + PQQ <=> PQQH2 + 3-Dehydroquinate
R01874	R01874	D-cysteine sulfide-lyase (deaminating; pyruvate-forming); D-Cysteine + H2O <=> Hydrogen sulfide + Ammonia + Pyruvate
R01876	R01876	uridine:phosphate alpha-D-ribosyltransferase; Uridine + Orthophosphate <=> Uracil + alpha-D-Ribose 1-phosphate
R01877	R01877	Uridine 3'-monophosphate phosphohydrolase; 3'-UMP + H2O <=> Uridine + Orthophosphate
R01878	R01878	Cytidine aminohydrolase; Cytidine + H2O <=> Uridine + Ammonia
R01880	R01880	dGTP:uridine 5'-phosphotransferase; dGTP + Uridine <=> dGDP + UMP
R01881	R01881	ATP:creatine N-phosphotransferase; ATP + Creatine <=> ADP + Phosphocreatine
R01883	R01883	S-Adenosyl-L-methionine:guanidinoacetate N-methyltransferase; S-Adenosyl-L-methionine + Guanidinoacetate <=> S-Adenosyl-L-homocysteine + Creatine
R01884	R01884	Creatinine amidohydrolase; Creatinine + H2O <=> Creatine
R01885	R01885	ADP-ribose + H2O <=> alpha-D-Ribose 1-phosphate + AMP
R01887	R01887	gamma-Amino-gamma-cyanobutanoate aminohydrolase; gamma-Amino-gamma-cyanobutanoate + 2 H2O <=> Glutamate + Ammonia
R01890	R01890	CTP:choline-phosphate cytidylyltransferase; CTP + Choline phosphate <=> Diphosphate + CDP-choline
R01895	R01895	Ribitol:NAD+ 2-oxidoreductase; Ribitol + NAD+ <=> D-Ribulose + NADH + H+
R01896	R01896	xylitol:NAD+ 2-oxidoreductase (D-xylulose-forming); Xylitol + NAD+ <=> D-Xylulose + NADH + H+
R01898	R01898	D-lyxose aldose-ketose-isomerase; D-Xylulose <=> D-Lyxose
R01899	R01899	Isocitrate:NADP+ oxidoreductase; Isocitrate + NADP+ <=> Oxalosuccinate + NADPH + H+
R01900	R01900	isocitrate hydro-lyase (cis-aconitate-forming); Isocitrate <=> cis-Aconitate + H2O
R01901	R01901	ATP:L-xylulose 5-phosphotransferase; ATP + L-Xylulose <=> ADP + L-Xylulose 5-phosphate
R01902	R01902	ATP:L-xylulose 1-phosphotransferase; ATP + L-Xylulose <=> ADP + L-Xylulose 1-phosphate
R01904	R01904	Xylitol:NADP+ 4-oxidoreductase (L-xylulose-forming); Xylitol + NADP+ <=> L-Xylulose + NADPH + H+
R01906	R01906	L-lyxose aldose-ketose-isomerase; L-Xylulose <=> L-Lyxose
R01908	R01908	oxalyl-CoA carboxy-lyase (formyl-CoA-forming); Oxalyl-CoA <=> Formyl-CoA + CO2
R01909	R01909	ATP:pyridoxine 5'-phosphotransferase; ATP + Pyridoxine <=> ADP + Pyridoxine phosphate
R01911	R01911	pyridoxine-5'-phosphate phosphohydrolase; Pyridoxine + Orthophosphate <=> Pyridoxine phosphate + H2O
R01914	R01914	spermidine:(acceptor) oxidoreductase; Spermidine + Oxygen + H2O <=> 1,3-Diaminopropane + 4-Aminobutyraldehyde + Hydrogen peroxide
R01915	R01915	Spermidine:(acceptor) oxidoreductase; Spermidine + Acceptor + H2O <=> 1,3-Diaminopropane + 4-Aminobutyraldehyde + Reduced acceptor
R01917	R01917	gamma-L-glutamyl-L-cysteinyl-glycine:spermidine ligase (ADP-forming); ATP + Glutathione + Spermidine <=> ADP + Orthophosphate + Glutathionylspermidine
R01918	R01918	gamma-L-glutamyl-L-cysteinyl-glycine:spermidine amidase; Glutathionylspermidine + H2O <=> Glutathione + Spermidine
R01920	R01920	S-adenosylmethioninamine:putrescine 3-aminopropyltransferase; S-Adenosylmethioninamine + Putrescine <=> 5'-Methylthioadenosine + Spermidine
R01923	R01923	palmitoyl-CoA:L-carnitine O-palmitoyltransferase; Palmitoyl-CoA + L-Carnitine <=> CoA + L-Palmitoylcarnitine
R01926	R01926	ATP:sphingosine 1-phosphotransferase; sphingosine kinase; Sphingosine + ATP <=> Sphingosine 1-phosphate + ADP
R01931	R01931	thiosulfate:cyanide sulfurtranserase; Thiosulfate + Cyanide ion <=> Sulfite + Thiocyanate
R01933	R01933	2-oxoadipate dehydrogenase complex; 2-Oxoadipate + CoA + NAD+ <=> Glutaryl-CoA + CO2 + NADH + H+
R01934	R01934	(1R,2S)-1-hydroxybutane-1,2,4-tricarboxylate:NAD+ oxidoreductase (decarboxylating); homoisocitrate:NAD+ oxidoreductase (decarboxylating); Homoisocitrate + NAD+ <=> 2-Oxoadipate + CO2 + NADH + H+
R01936	R01936	(1R,2S)-1-hydroxybutane-1,2,4-tricarboxylate:NAD+ oxidoreductase (decarboxylating); Oxaloglutarate <=> 2-Oxoadipate + CO2
R01939	R01939	L-2-aminoadipate:2-oxoglutarate aminotransferase; L-2-Aminoadipate + 2-Oxoglutarate <=> 2-Oxoadipate + L-Glutamate
R01940	R01940	2-Oxoadipate:lipoamde 2-oxidoreductase(decarboxylating and acceptor-succinylating); 2-Oxoadipate + Enzyme N6-(lipoyl)lysine <=> [Dihydrolipoyllysine-residue succinyltransferase] S-glutaryldihydrolipoyllysine + CO2
R01941	R01941	Caffeic aldehyde:NADP+ oxidoreductase (CoA-caffeoylating); Caffeic aldehyde + CoA + NADP+ <=> Caffeoyl-CoA + NADPH + H+
R01942	R01942	S-Adenosyl-L-methionine:caffeoyl-CoA 3-O-methyltransferase; S-Adenosyl-L-methionine + Caffeoyl-CoA <=> S-Adenosyl-L-homocysteine + Feruloyl-CoA
R01943	R01943	Caffeate:CoA ligase (AMP-forming); 3,4-Dihydroxy-trans-cinnamate:CoA ligase (AMP-forming); ATP + Caffeate + CoA <=> AMP + Diphosphate + Caffeoyl-CoA
R01945	R01945	Caffeoyl-CoA:quinate O-(3,4-dihydroxycinnamoyl)transferase; Caffeoyl-CoA + Quinate <=> CoA + Chlorogenate
R01951	R01951	GTP:beta-L-fucose-1-phosphate guanylyltransferase; GTP + L-Fucose 1-phosphate <=> Diphosphate + GDP-L-fucose
R01954	R01954	L-Citrulline:L-aspartate ligase (AMP-forming); ATP + L-Citrulline + L-Aspartate <=> AMP + Diphosphate + N-(L-Arginino)succinate
R01956	R01956	L-Kynurenine:2-oxoglutarate aminotransferase; L-Kynurenine + 2-Oxoglutarate <=> 4-(2-Aminophenyl)-2,4-dioxobutanoate + L-Glutamate
R01959	R01959	N-Formyl-L-kynurenine amidohydrolase; L-Formylkynurenine + H2O <=> Formate + L-Kynurenine
R01960	R01960	L-Kynurenine,NADPH:oxygen oxidoreductase (3-hydroxylating); L-Kynurenine + Oxygen + NADPH + H+ <=> 3-Hydroxy-L-kynurenine + NADP+ + H2O
R01961	R01961	ATP:D-glucosamine 6-phosphotransferase; ATP + D-Glucosamine <=> ADP + D-Glucosamine 6-phosphate
R01966	R01966	beta-D-glucosaminide glucosaminohydrolase; D-Glucosamine + D-Glucosaminide <=> D-Glucosaminide + H2O
R01967	R01967	ATP:deoxyguanosine 5'-phosphotransferase; ATP + Deoxyguanosine <=> ADP + dGMP
R01968	R01968	2'-deoxyguanosine 5'-monophosphate phosphohydrolase; dGMP + H2O <=> Deoxyguanosine + Orthophosphate
R01969	R01969	Deoxyguanosine:orthophosphate ribosyltransferase; Deoxyguanosine + Orthophosphate <=> Guanine + 2-Deoxy-D-ribose 1-phosphate
R01974	R01974	3-(indol-3-yl)pyruvate carboxy-lyase [(2-indol-3-yl)acetaldehyde-forming]; Indolepyruvate <=> Indole-3-acetaldehyde + CO2
R01975	R01975	(S)-3-Hydroxybutanoyl-CoA:NAD+ oxidoreductase; (S)-3-Hydroxybutanoyl-CoA + NAD+ <=> Acetoacetyl-CoA + NADH + H+
R01976	R01976	(S)-3-Hydroxybutanoyl-CoA:NADP+ oxidoreductase; (S)-3-Hydroxybutanoyl-CoA + NADP+ <=> Acetoacetyl-CoA + NADPH + H+
R01977	R01977	(R)-3-Hydroxybutanoyl-CoA:NADP+ oxidoreductase; (R)-3-Hydroxybutanoyl-CoA + NADP+ <=> Acetoacetyl-CoA + NADPH + H+
R01978	R01978	acetyl-CoA:acetoacetyl-CoA C-acetyltransferase (thioester-hydrolysing, carboxymethyl-forming); (S)-3-Hydroxy-3-methylglutaryl-CoA + CoA <=> Acetyl-CoA + H2O + Acetoacetyl-CoA
R01980	R01980	ATP:D-galacturonate 1-phosphotransferase; ATP + D-Galacturonate <=> ADP + 1-Phospho-alpha-D-galacturonate
R01982	R01982	Poly(1,4-alpha-D-galacturonate) galacturonohydrolase; Pectate + H2O <=> D-Galacturonate + Pectate
R01983	R01983	D-Galacturonate aldose-ketose-isomerase; D-Galacturonate <=> D-Tagaturonate
R01986	R01986	4-Aminobutyraldehyde:NAD+ oxidoreductase; 4-Aminobutyraldehyde + NADP+ + H2O <=> 4-Aminobutanoate + NADPH + H+
R01989	R01989	L-Arginine:4-aminobutanoate amidinotransferase; L-Arginine + 4-Aminobutanoate <=> L-Ornithine + 4-Guanidinobutanoate
R01990	R01990	4-Guanidinobutanoate amidinohydrolase; 4-Guanidinobutanoate + H2O <=> 4-Aminobutanoate + Urea
R01991	R01991	L-histidine:4-aminobutanoate ligase (ADP-forming); ATP + L-Histidine + 4-Aminobutanoate <=> ADP + Orthophosphate + Homocarnosine
R01992	R01992	alpha-Aminobutyryl histidine hydrolase; Homocarnosine + H2O <=> 4-Aminobutanoate + L-Histidine
R01993	R01993	(S)-dihydroorotate amidohydrolase; (S)-Dihydroorotate + H2O <=> N-Carbamoyl-L-aspartate
R01994	R01994	UDPglucose:lipopolysaccharide glucosyltransferase; UDP-glucose + Lipopolysaccharide <=> UDP + D-Glucosyllipopolysaccharide
R01996	R01996	UDP-N-acetyl-D-glucosamine:lipopolysaccharide N-acetylglucosaminyltransferase; UDP-N-acetyl-alpha-D-glucosamine + Lipopolysaccharide <=> UDP + N-Acetyl-D-glucosaminyllipopolysaccharide
R01997	R01997	UDP-alpha-D-galactose:lipopolysaccharide 3-alpha-D-galactosyltransferase; UDP-alpha-D-galactose + Lipopolysaccharide <=> UDP + 3-alpha-D-Galactosyl-[lipopolysaccharide glucose]
R01999	R01999	Acyl-CoA:long-chain-alcohol O-acyltransferase; Acyl-CoA + Long-chain alcohol <=> CoA + Long-chain ester
R02000	R02000	rubredoxin:NAD+ oxidoreductase; 2 Reduced rubredoxin + NAD+ + H+ <=> 2 Oxidized rubredoxin + NADH
R02003	R02003	Geranyl-diphosphate:isopentenyl-diphosphate geranyltrans-transferase; Geranyl diphosphate + Isopentenyl diphosphate <=> Diphosphate + trans,trans-Farnesyl diphosphate
R02009	R02009	geranyldiphosphate diphosphate-lyase (myrcene-forming); Geranyl diphosphate <=> Myrcene + Diphosphate
R02013	R02013	geranyl-diphosphate diphosphate-lyase [cyclizing; (4S)-limonene-forming]; Geranyl diphosphate <=> (S)-Limonene + Diphosphate
R02014	R02014	2'-Deoxyadenosine 5'-triphosphate:oxydized-thioredoxin 2'-oxidoreductase; dATP + Thioredoxin disulfide + H2O <=> ATP + Thioredoxin
R02016	R02016	NADPH:oxidized-thioredoxin oxidoreductase; Thioredoxin + NADP+ <=> Thioredoxin disulfide + NADPH + H+
R02017	R02017	2'-Deoxyadenosine 5'-diphosphate:oxidized-thioredoxin 2'-oxidoreductase; dADP + Thioredoxin disulfide + H2O <=> Thioredoxin + ADP
R02018	R02018	2'-Deoxyuridine 5'-diphosphate:oxidized-thioredoxin 2'-oxidoreductase; dUDP + Thioredoxin disulfide + H2O <=> Thioredoxin + UDP
R02019	R02019	2'-Deoxyguanosine 5'-diphosphate:oxidized-thioredoxin 2'-oxidoreductase; dGDP + Thioredoxin disulfide + H2O <=> GDP + Thioredoxin
R02020	R02020	2'-Deoxyguanosine 5'-triphosphate:oxydized-thioredoxin 2'-oxidoreductase; dGTP + Thioredoxin disulfide + H2O <=> GTP + Thioredoxin
R02021	R02021	adenosine 3',5'-bisphosphate,sulfite:oxidized-thioredoxin oxidoreductase (3'-phosphoadenosine-5'-phosphosulfate -forming); Thioredoxin + 3'-Phosphoadenylyl sulfate <=> Thioredoxin disulfide + Sulfite + Adenosine 3',5'-bisphosphate
R02022	R02022	2'-Deoxyuridine 5'-triphosphate:oxydized-thioredoxin 2'-oxidoreductase; dCTP + Thioredoxin disulfide + H2O <=> CTP + Thioredoxin
R02023	R02023	2'-Deoxyuridine 5'-triphosphate:oxydized-thioredoxin 2'-oxidoreductase; dUTP + Thioredoxin disulfide + H2O <=> UTP + Thioredoxin
R02024	R02024	2'-Deoxycytidine diphosphate:oxidized-thioredoxin 2'-oxidoreductase; dCDP + Thioredoxin disulfide + H2O <=> Thioredoxin + CDP
R02025	R02025	L-methionine:oxidized-thioredoxin S-oxidoreductase; L-Methionine + Thioredoxin disulfide + H2O <=> L-Methionine S-oxide + Thioredoxin
R02027	R02027	Phosphatidylglycerol cholinephosphohydrolase; Phosphatidylglycerol + H2O <=> 1,2-Diacyl-sn-glycerol + sn-Glycerol 3-phosphate
R02029	R02029	Phosphatidylglycerophosphate phosphohydrolase; Phosphatidylglycerophosphate + H2O <=> Phosphatidylglycerol + Orthophosphate
R02030	R02030	CDP-diacylglycerol:phosphatidylglycerol 3-phosphatidyltransferase; Phosphatidylglycerol + CDP-diacylglycerol <=> Cardiolipin + CMP
R02032	R02032	6-Phospho-2-dehydro-D-gluconate:NAD+ 2-oxidoreductase; 6-Phospho-D-gluconate + NAD+ <=> 6-Phospho-2-dehydro-D-gluconate + NADH + H+
R02034	R02034	6-phospho-D-gluconate:NADP+ 2-oxidoreductase; 6-Phospho-D-gluconate + NADP+ <=> 6-Phospho-2-dehydro-D-gluconate + NADPH + H+
R02035	R02035	6-Phospho-D-glucono-1,5-lactone lactonohydrolase; D-Glucono-1,5-lactone 6-phosphate + H2O <=> 6-Phospho-D-gluconate
R02036	R02036	6-Phospho-D-gluconate hydro-lyase(2-dehydro-3-deoxy-6-phospho-D-gluconate-forming); 6-Phospho-D-gluconate <=> 2-Dehydro-3-deoxy-6-phospho-D-gluconate + H2O
R02037	R02037	S-Adenosyl-L-methionine:ethanolamine-phosphate N-methyltransferase; S-Adenosyl-L-methionine + Ethanolamine phosphate <=> S-Adenosyl-L-homocysteine + N-Methylethanolamine phosphate
R02038	R02038	CTP:ethanolamine-phosphate cytidylyltransferase; CTP + Ethanolamine phosphate <=> Diphosphate + CDP-ethanolamine
R02050	R02050	(R)-3-Amino-2-methylpropanoate:pyruvate aminotransferase; (R)-3-Amino-2-methylpropanoate + Pyruvate <=> 2-Methyl-3-oxopropanoate + L-Alanine
R02051	R02051	phosphatidylethanolamine phosphatidohydrolase; Phosphatidylethanolamine + H2O <=> Ethanolamine + Phosphatidate
R02052	R02052	Phosphatidylethanolamine ethanolaminephosphohydrolase; Phosphatidylethanolamine + H2O <=> 1,2-Diacyl-sn-glycerol + Ethanolamine phosphate
R02053	R02053	phosphatidylethanolamine 2-acylhydrolase; Phosphatidylethanolamine + H2O <=> 1-Acyl-sn-glycero-3-phosphoethanolamine + Fatty acid
R02054	R02054	phosphatidylethanolamine 1-acylhydrolase; Phosphatidylethanolamine + H2O <=> 2-Acyl-sn-glycero-3-phosphoethanolamine + Fatty acid
R02055	R02055	Phsophatidyl-L-serine carboxy-lyase; Phosphatidylserine <=> Phosphatidylethanolamine + CO2
R02056	R02056	S-adenosyl-L-methionine:phosphatidylethanolamine N-methyltransferase; S-Adenosyl-L-methionine + Phosphatidylethanolamine <=> S-Adenosyl-L-homocysteine + Phosphatidyl-N-methylethanolamine
R02057	R02057	CDPethanolamine:1,2-diacylglycerol ethanolaminephosphotransferase; CDP-ethanolamine + 1,2-Diacyl-sn-glycerol <=> CMP + Phosphatidylethanolamine
R02058	R02058	acetyl-CoA:D-glucosamine-6-phosphate N-acetyltransferase; Acetyl-CoA + D-Glucosamine 6-phosphate <=> CoA + N-Acetyl-D-glucosamine 6-phosphate
R02059	R02059	N-Acetyl-D-glucosamine-6-phosphate amidohydrolase; N-Acetyl-D-glucosamine 6-phosphate + H2O <=> D-Glucosamine 6-phosphate + Acetate
R02060	R02060	D-Glucosamine 1-phosphate 1,6-phosphomutase; D-glucosamine 1,6-phosphomutase; alpha-D-Glucosamine 1-phosphate <=> D-Glucosamine 6-phosphate
R02061	R02061	trans,trans-Farnesyl-diphosphate:isopentenyl-diphosphate farnesyltranstransferase; trans,trans-Farnesyl diphosphate + Isopentenyl diphosphate <=> Diphosphate + Geranylgeranyl diphosphate
R02063	R02063	geranylgeranyl reductase; Geranylgeranyl diphosphate + 3 H+ + 3 NADPH <=> Phytyl diphosphate + 3 NADP+
R02064	R02064	Geranylgeranyl-diphosphate diphosphate-lyase (cyclizing); Geranylgeranyl diphosphate <=> Casbene + Diphosphate
R02065	R02065	geranylgeranyl-diphosphate:geranylgeranyl-diphosphate geranylgeranyltransferase; 2 Geranylgeranyl diphosphate <=> Diphosphate + Prephytoene diphosphate
R02068	R02068	ent-copalyl-diphosphate lyase; Geranylgeranyl diphosphate <=> ent-Copalyl diphosphate
R02071	R02071	ATP:D-fructose-1-phosphate 6-phosphotransferase; ATP + D-Fructose 1-phosphate <=> ADP + beta-D-Fructose 1,6-bisphosphate
R02073	R02073	diphosphate:beta-D-fructose-6-phosphate 1-phosphotransferase; Diphosphate + beta-D-Fructose 6-phosphate <=> Orthophosphate + beta-D-Fructose 1,6-bisphosphate
R02078	R02078	L-Tyrosine,L-dopa:oxygen oxidoreductase; 3,4-Dihydroxy-L-phenylalanine + L-Tyrosine + Oxygen <=> Dopaquinone + 3,4-Dihydroxy-L-phenylalanine + H2O
R02080	R02080	3,4-Dihydroxy-L-phenylalanine carboxy-lyase; 3,4-Dihydroxy-L-phenylalanine <=> Dopamine + CO2
R02081	R02081	(R)-Mevalonate:NAD+ oxidoreductase (CoA-acetylating); (R)-Mevalonate + CoA + 2 NAD+ <=> (S)-3-Hydroxy-3-methylglutaryl-CoA + 2 NADH + 2 H+
R02082	R02082	(R)-Mevalonate:NADP+ oxidoreductase (CoA acylating); (R)-Mevalonate + CoA + 2 NADP+ <=> (S)-3-Hydroxy-3-methylglutaryl-CoA + 2 NADPH + 2 H+
R02085	R02085	(S)-3-Hydroxy-3-methylglutaryl-CoA hydro-lyase (trans-3-methylglutaconyl-CoA-forming); (S)-3-Hydroxy-3-methylglutaryl-CoA <=> 3-Methylglutaconyl-CoA + H2O
R02087	R02087	N-Acetyl-D-glucosamine 6-phosphate 2-epimerase; N-Acetyl-D-glucosamine 6-phosphate <=> N-Acetyl-D-mannosamine 6-phosphate
R02088	R02088	2'-deoxyadenosine 5'-monophosphate phosphohydrolase; dAMP + H2O <=> Deoxyadenosine + Orthophosphate
R02089	R02089	ATP:deoxyadenosine 5'-phosphotransferase; ATP + Deoxyadenosine <=> ADP + dAMP
R02090	R02090	ATP:dGMP phosphotransferase; ATP + dGMP <=> ADP + dGDP
R02091	R02091	dGTP:cytidine 5'-phosphotransferase; dGTP + Cytidine <=> dGDP + CMP
R02092	R02092	dTDP phosphohydrolase; dTDP + H2O <=> dTMP + Orthophosphate
R02093	R02093	ATP:dTDP phosphotransferase; ATP + dTDP <=> ADP + dTTP
R02094	R02094	ATP:dTMP phosphotransferase; ATP + dTMP <=> ADP + dTDP
R02095	R02095	dTTP nucleotidohydrolase; dTTP + H2O <=> dTDP + Orthophosphate
R02096	R02096	dTTP:cytidine 5'-phosphotransferase; dTTP + Cytidine <=> dTDP + CMP
R02097	R02097	dTTP:uridine 5'-phosphotransferase; dTTP + Uridine <=> dTDP + UMP
R02098	R02098	ATP:dUMP phosphotransferase; ATP + dUMP <=> ADP + dUDP
R02099	R02099	ATP:deoxyuridine 5'-phosphotransferase; ATP + Deoxyuridine <=> ADP + dUMP
R02100	R02100	dUTP nucleotidohydrolase; dUTP + H2O <=> dUMP + Diphosphate
R02101	R02101	5,10-Methylenetetrahydrofolate:dUMP C-methyltransferase; dUMP + 5,10-Methylenetetrahydrofolate <=> Dihydrofolate + dTMP
R02102	R02102	2'-deoxyuridine 5'-monophosphate phosphohydrolase; dUMP + H2O <=> Deoxyuridine + Orthophosphate
R02103	R02103	xanthine:NAD+ oxidoreductase; Xanthine + NAD+ + H2O <=> Urate + NADH + H+
R02106	R02106	urate:oxygen oxidoreductase; Urate + Oxygen + H2O <=> 5-Hydroxyisourate + Hydrogen peroxide
R02107	R02107	Xanthine:oxygen oxidoreductase; Xanthine + H2O + Oxygen <=> Urate + Hydrogen peroxide
R02108	R02108	1,4-alpha-D-Glucan glucanohydrolase; Starch + H2O <=> Dextrin + Starch
R02109	R02109	Dextrin 6-alpha-D-glucanohydrolase; Starch + H2O <=> Amylose + alpha-D-Glucose
R02110	R02110	1,4-alpha-D-Glucan:1,4-alpha-D-glucan 6-alpha-D-(1,4-alpha-D-glucano)-transferase; Amylose <=> Starch
R02111	R02111	1,4-alpha-D-Glucan:orthophosphate alpha-D-glucosyltransferase; Starch + Orthophosphate <=> Amylose + D-Glucose 1-phosphate
R02112	R02112	1,4-alpha-D-Glucan maltohydrolase; Starch <=> Dextrin + Maltose
R02114	R02114	Phosphatidylcholine:sterol O-acyltransferase; Phosphatidylcholine + Sterol <=> 1-Acyl-sn-glycero-3-phosphocholine + Steryl ester
R02119	R02119	UDP-D-xylose:zeatin O-beta-D-xylosyltransferase; UDP-D-xylose + Zeatin <=> UDP + O-beta-D-Xylosylzeatin
R02120	R02120	Sucrose:1,6-alpha-D-glucan 6-alpha-D-glucosyltransferase; Sucrose + Dextran <=> D-Fructose + Dextran
R02123	R02123	retinal:NAD+ oxidoreductase; Retinal + NAD+ + H2O <=> Retinoate + NADH + H+
R02124	R02124	retinol:NAD+ oxidoreductase; Retinol + NAD+ <=> Retinal + NADH + H+
R02125	R02125	retinal:oxygen oxidoreductase; Retinal + Oxygen + H2O <=> Retinoate + Hydrogen peroxide
R02133	R02133	Thiamin hydrolase; Thiamine + H2O <=> 4-Amino-5-hydroxymethyl-2-methylpyrimidine + 5-(2-Hydroxyethyl)-4-methylthiazole + H+
R02134	R02134	ATP:thiamine phosphotransferase; ATP + Thiamine <=> ADP + Thiamin monophosphate
R02135	R02135	thiamin monophosphate phosphohydrolase; Thiamin monophosphate + H2O <=> Thiamine + Orthophosphate
R02137	R02137	Cytidine ribohydrolase; Cytidine + H2O <=> Cytosine + D-Ribose
R02139	R02139	barbiturate amidohydrolase (3-oxo-3-ureidopropanoate-forming); Barbiturate + H2O <=> 3-Oxo-3-ureidopropanoate
R02142	R02142	XMP:pyrophosphate phosphoribosyltransferase; Xanthosine 5'-phosphate + Diphosphate <=> Xanthine + 5-Phospho-alpha-D-ribose 1-diphosphate
R02143	R02143	Xanthosine ribohydrolase; Xanthosine + H2O <=> Xanthine + D-Ribose
R02144	R02144	S-adenosyl-L-methionine:carnosine N-methyltransferase; S-Adenosyl-L-methionine + Carnosine <=> S-Adenosyl-L-homocysteine + beta-Alanyl-N(pi)-methyl-L-histidine
R02147	R02147	guanosine:phosphate alpha-D-ribosyltransferase; Guanosine + Orthophosphate <=> Guanine + alpha-D-Ribose 1-phosphate
R02148	R02148	Guanosine 3'-phosphate phosphohydrolase; Guanosine 3'-phosphate + H2O <=> Guanosine + Orthophosphate
R02150	R02150	1H-Imidazole-4-ethanamine:oxygen oxidoreductase (deaminating) (copper-containing); Histamine + Oxygen + H2O <=> Imidazole-4-acetaldehyde + Ammonia + Hydrogen peroxide
R02155	R02155	S-Adenosyl-L-methionine:histamine N-tele-methyltransferase; S-Adenosyl-L-methionine + Histamine <=> S-Adenosyl-L-homocysteine + N-Methylhistamine
